shape,max_tem,tem_rate,height,length,width,W_top,W_side,W_bottom,tem_initial,tem_out,days,location,y_temp
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,1.4,top,24.0754417
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,1.5,top,24.04107812
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,1.6,top,23.95630013
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,1.7,top,23.82682763
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,1.8,top,23.65608972
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,1.9,top,23.45025626
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,2,top,23.21500784
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,2.1,top,22.95427593
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,2.2,top,22.6714997
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,2.3,top,22.3698135
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,2.4,top,22.05205283
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,2.5,top,21.72087557
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,2.6,top,21.37874833
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,2.7,top,21.02790259
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,2.8,top,20.67031746
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,2.9,top,20.30772922
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,3,top,19.94165497
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,3.5,top,18.08818775
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,4,top,16.31158242
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,4.5,top,14.6615799
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,5,top,13.15635191
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,5.5,top,11.79815775
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,6,top,10.58275423
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,6.5,top,9.499452975
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,7,top,8.535871679
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,7.5,top,7.679694995
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,8,top,6.918936285
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,9,top,5.694828596
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,10,top,4.707958546
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,11,top,3.908326885
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,16,top,1.986926612
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,21,top,1.029165674
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,26,top,0.541482862
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,31,top,0.28881211
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,37,top,0.14344624
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,43,top,0.072982405
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,53,top,0.029994871
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,0,top,15
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,0.1,top,17.2341156
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,0.2,top,18.9263408
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,0.3,top,20.37205565
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,0.4,top,21.62927253
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,0.5,top,22.71627302
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,0.6,top,23.64670287
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,0.7,top,24.43378918
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,0.8,top,25.09040168
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,0.9,top,25.62879976
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,1,top,26.06047778
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,1.1,top,26.3961
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,1.2,top,26.64549073
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,1.3,top,26.81765673
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,1.4,top,26.92082719
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,1.5,top,26.96250275
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,1.6,top,26.94950789
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,1.7,top,26.88799329
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,1.8,top,26.78173832
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,1.9,top,26.63720425
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,2,top,26.4603192
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,2.1,top,26.25522873
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,2.2,top,26.02555997
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,2.3,top,25.77461436
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,2.4,top,25.5053779
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,2.5,top,25.22063898
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,2.6,top,24.92297918
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,2.7,top,24.61473511
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,2.8,top,24.29798476
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,2.9,top,23.97455867
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,3,top,23.64606389
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,3.5,top,21.94957417
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,4,top,20.30552468
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,4.5,top,18.76853426
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,5,top,17.36047036
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,5.5,top,16.08642936
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,6,top,14.94437672
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,6.5,top,13.92536705
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,7,top,13.0184113
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,7.5,top,12.21232105
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,8,top,11.4960311
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,9,top,10.34362962
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,10,top,9.415048691
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,11,top,8.663124334
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,16,top,6.859379132
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,21,top,5.961319163
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,5,26,top,5.504578017
